species,strain_1,strain_2
prochlorococcus_marinus,NC_007577,NC_009091
prochlorococcus_marinus,NC_005072,NC_008817
prochlorococcus_marinus,NC_007335,NC_009091
prochlorococcus_marinus,NC_005042,NC_008816
prochlorococcus_marinus,NC_007577,NC_009840
prochlorococcus_marinus,NC_008817,NC_009840
prochlorococcus_marinus,NC_005042,NC_008819
prochlorococcus_marinus,NC_005071,NC_007335
prochlorococcus_marinus,NC_005072,NC_009091
prochlorococcus_marinus,NC_008816,NC_008817
prochlorococcus_marinus,NC_008816,NC_009091
prochlorococcus_marinus,NC_005042,NC_005072
prochlorococcus_marinus,NC_007577,NC_008816
prochlorococcus_marinus,NC_007335,NC_008819
prochlorococcus_marinus,NC_005071,NC_008819
prochlorococcus_marinus,NC_005071,NC_007577
prochlorococcus_marinus,NC_005072,NC_007335
prochlorococcus_marinus,NC_005042,NC_007577
prochlorococcus_marinus,NC_007335,NC_007577
prochlorococcus_marinus,NC_005072,NC_007577
prochlorococcus_marinus,NC_005072,NC_008816
prochlorococcus_marinus,NC_007335,NC_009840
prochlorococcus_marinus,NC_005072,NC_008819
prochlorococcus_marinus,NC_005042,NC_008817
prochlorococcus_marinus,NC_008817,NC_009091
prochlorococcus_marinus,NC_007577,NC_008819
prochlorococcus_marinus,NC_005072,NC_009840
prochlorococcus_marinus,NC_007335,NC_008817
